Term,Overlap,P-value,Adjusted P-value,Odds Ratio,cluster_id
GOBP PROTEIN ACETYLATION,30 / 209,6.61e-05,8.53e-03,2.39,Groups III/IV/V (Other tissues)
GOBP REGULATION OF RESPONSE TO DNA DAMAGE STIMULUS,41 / 311,2.67e-05,5.38e-03,2.17,Groups III/IV/V (Other tissues)
GOBP MRNA METABOLIC PROCESS,85 / 767,3.20e-06,1.41e-03,1.79,Groups III/IV/V (Other tissues)
GOBP POSITIVE REGULATION OF DNA METABOLIC PROCESS,40 / 303,3.23e-05,5.45e-03,2.17,Groups III/IV/V (Other tissues)
GOBP CILIUM ORGANIZATION,52 / 421,1.53e-05,4.04e-03,2.02,Groups III/IV/V (Other tissues)
GOBP CELL PROJECTION ASSEMBLY,70 / 609,7.01e-06,2.18e-03,1.86,Groups III/IV/V (Other tissues)
GOBP RNA SPLICING VIA TRANSESTERIFICATION REACTIONS,42 / 326,3.71e-05,5.77e-03,2.11,Groups III/IV/V (Other tissues)
GOBP DNA REPLICATION,37 / 279,5.71e-05,7.56e-03,2.18,Groups III/IV/V (Other tissues)
GOBP MORPHOGENESIS OF A POLARIZED EPITHELIUM,16 / 96,6.27e-04,4.33e-02,2.87,Groups III/IV/V (Other tissues)
GOBP CARBOHYDRATE CATABOLIC PROCESS,24 / 162,2.11e-04,2.19e-02,2.48,Groups III/IV/V (Other tissues)
GOBP TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING,14 / 81,9.29e-04,5.46e-02,3.00,Groups III/IV/V (Other tissues)
GOBP PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL,108 / 1046,4.23e-06,1.60e-03,1.66,Groups III/IV/V (Other tissues)
GOBP CELLULAR RESPONSE TO DNA DAMAGE STIMULUS,64 / 868,1.79e-05,1.99e-02,1.85,Groups I/II (Brain)
GOBP TORC1 SIGNALING,11 / 60,1.96e-03,9.05e-02,3.24,Groups III/IV/V (Other tissues)
GOBP NCRNA PROCESSING,52 / 433,3.30e-05,5.45e-03,1.95,Groups III/IV/V (Other tissues)
