tissue_pair	splicing_class	n_genes	df	spearman_rho	ci_low_95	ci_high_95	p_value_two_sided	bh_adjusted_p	significant_at_fdr_0.1
Brain-Caudate_basalganglia_v_Uterus	unproductive	114	112	-0.3570887588343695	-0.5119844119358825	-0.1797022061888786	9.617801990364014e-05	0.0003177457219166105	True
Heart-AtrialAppendage_v_Liver	unproductive	90	88	-0.398147919496234	-0.5647258876101438	-0.20039787688258875	0.0001017711193674	0.000335263144658892	True
Testis_v_Spleen	unproductive	255	253	-0.2405207850856878	-0.3544865434723367	-0.11951381431158174	0.0001048714603415	0.00034449228995370233	True
Skin-NotSunExposed_Suprapubic_v_Cells-EBV-transformedlymphocytes	unproductive	104	102	-0.3685906326683025	-0.5286934532805112	-0.18316185781397432	0.0001181468733228	0.00038590182702886235	True
Brain-Amygdala_v_Heart-LeftVentricle	unproductive	80	78	-0.4165025785278949	-0.5891067989924098	-0.20754941968801263	0.0001216162058521	0.0003961115405295799	True
MinorSalivaryGland_v_Brain-Cerebellum	unproductive	201	199	-0.2674804196837594	-0.39347600576884806	-0.1316219589011357	0.0001236777862686	0.00040169151427519944	True
Brain-Caudate_basalganglia_v_Artery-Tibial	unproductive	106	104	-0.3641131571655289	-0.5234200337737035	-0.1802106275710073	0.0001245950726198	0.0004035340413781725	True
SmallIntestine-TerminalIleum_v_Cells-EBV-transformedlymphocytes	unproductive	96	94	-0.3810770482908301	-0.545397951692601	-0.18854778352112825	0.0001279057374076	0.0004130961210951339	True
Artery-Coronary_v_Cells-EBV-transformedlymphocytes	unproductive	107	105	-0.3618115558690413	-0.5207360628429952	-0.17865051866424003	0.0001285485834221	0.00041401261644045056	True
Brain-Substantianigra_v_Liver	unproductive	150	148	-0.3063478376816748	-0.44777548695944863	-0.14996592282248875	0.0001374692368392	0.00044150983307965905	True
Brain-CerebellarHemisphere_v_Muscle-Skeletal	unproductive	208	206	-0.261249619945272	-0.3856288363486036	-0.12754468853660186	0.0001381284770515	0.000442394816778832	True
Brain-Caudate_basalganglia_v_Artery-Coronary	unproductive	105	103	-0.363166079203815	-0.5233121359133679	-0.17824177693254697	0.0001402909128443	0.00044807596263013265	True
Brain-Cerebellum_v_WholeBlood	unproductive	333	331	-0.2070245702018301	-0.3086956727059397	-0.10067606266959643	0.0001418388852219	0.00045176860403549915	True
Pancreas_v_Brain-Caudate_basalganglia	unproductive	149	147	-0.3061998911663341	-0.4480941368866962	-0.14925699834254857	0.0001459839280932	0.0004636899974971339	True
Brain-CerebellarHemisphere_v_Thyroid	unproductive	228	226	-0.2477976099473816	-0.3676645279793628	-0.11983148272840466	0.0001566879809416	0.0004958692394133956	True
Vagina_v_Liver	unproductive	76	74	-0.4202597402597403	-0.5962566026846042	-0.2057183681322284	0.000157065976595	0.0004958692394133956	True
Spleen_v_Nerve-Tibial	unproductive	85	83	-0.3986710963455149	-0.569610148791406	-0.19467352830309193	0.0001574051531876	0.0004958692394133956	True
Esophagus-GastroesophagealJunction_v_Brain-Putamen_basalganglia	unproductive	93	91	-0.3804870042672554	-0.5473388511355749	-0.18454503359737742	0.0001684295741205	0.0005286066588158318	True
Brain-Cortex_v_Heart-LeftVentricle	unproductive	122	120	-0.3341704640457866	-0.4870099215483862	-0.16147251033945745	0.0001687140073237	0.0005286066588158318	True
Artery-Aorta_v_WholeBlood	unproductive	122	120	-0.3324917966697618	-0.4855306184937049	-0.15968037199759375	0.0001827655967858	0.0005710805774905892	True
Brain-Cerebellum_v_Breast-MammaryTissue	unproductive	243	241	-0.2377157901251294	-0.3545528569529878	-0.11356961923205972	0.0001838214413884	0.0005728273565427708	True
Esophagus-GastroesophagealJunction_v_Brain-Hippocampus	unproductive	87	85	-0.3888240868994677	-0.5595645183690283	-0.18642308641542452	0.0001977846894586	0.0006146451806040707	True
Muscle-Skeletal_v_Artery-Tibial	unproductive	97	95	-0.3691747317483694	-0.5344804579435746	-0.176664873155364	0.0001983070313831	0.0006146451806040707	True
Adipose-Subcutaneous_v_Cells-EBV-transformedlymphocytes	unproductive	100	98	-0.363120312031203	-0.5269656865464941	-0.17325065933861167	0.0002047123215133	0.0006327970689137665	True
Brain-Cerebellum_v_Adipose-Visceral_Omentum	unproductive	249	247	-0.2330788962300816	-0.34881267809110345	-0.11034310365196118	0.0002067256509696	0.0006373119667592214	True
Skin-SunExposed_Lowerleg_v_Cells-EBV-transformedlymphocytes	unproductive	114	112	-0.3393977440716065	-0.4965566893128857	-0.16069289179617868	0.0002206525763317	0.0006784331213612004	True
Brain-Amygdala_v_Ovary	unproductive	131	129	-0.317354401323867	-0.4670172466135823	-0.15001540255143286	0.0002212575279133	0.000678483855542646	True
Brain-Putamen_basalganglia_v_Nerve-Tibial	unproductive	94	92	-0.3718310876711339	-0.5391732873338873	-0.17624366486008192	0.0002242296050129	0.0006857738317768533	True
Brain-Cerebellum_v_Artery-Tibial	unproductive	238	236	-0.2368264926859468	-0.35490422978691116	-0.11131187982555799	0.0002269727805476	0.0006906810302194103	True
Muscle-Skeletal_v_Skin-SunExposed_Lowerleg	unproductive	109	107	-0.3461217681401168	-0.5057616210751757	-0.16356133186968042	0.0002272829360972	0.0006906810302194103	True
Brain-CerebellarHemisphere_v_Cells-EBV-transformedlymphocytes	unproductive	330	328	-0.2015961412117483	-0.30396066840554237	-0.09462981526356186	0.0002276312155103	0.0006906810302194103	True
Ovary_v_Muscle-Skeletal	unproductive	134	132	-0.3130637539121436	-0.46158768912038334	-0.14746684322389794	0.0002304607492766	0.0006974310863934902	True
Stomach_v_WholeBlood	unproductive	86	84	-0.3866503136940422	-0.5586614302660844	-0.18274964447159792	0.0002357313447214	0.0007096559803231703	True
Brain-Nucleusaccumbens_basalganglia_v_Thyroid	unproductive	155	153	-0.2910412168476685	-0.431720266836784	-0.1365396994574747	0.000238818035342	0.0007170760279930365	True
AdrenalGland_v_Brain-Caudate_basalganglia	unproductive	99	97	-0.3609276437847866	-0.5258575139703453	-0.1698402637666307	0.0002424603171748	0.0007252158164653826	True
Uterus_v_Brain-Hypothalamus	unproductive	137	135	-0.3086648496275692	-0.4560954448853305	-0.14474422986010374	0.0002427869082009	0.0007252158164653826	True
Brain-Substantianigra_v_Adipose-Subcutaneous	unproductive	117	115	-0.3327638657854905	-0.4888238615979286	-0.1560664620374118	0.0002465772242943	0.000734634469279917	True
Brain-Substantianigra_v_Muscle-Skeletal	unproductive	119	117	-0.329532830081185	-0.4847365920393934	-0.15421078724535028	0.0002526070460834	0.0007506595982839182	True
Esophagus-GastroesophagealJunction_v_Brain-CerebellarHemisphere	unproductive	208	206	-0.2503107114091096	-0.37545803712425246	-0.1161994884586209	0.0002658371030086	0.000785923537869015	True
Pancreas_v_Brain-Putamen_basalganglia	unproductive	136	134	-0.3075568913696865	-0.45561836334432726	-0.14293631061763507	0.0002702293411401	0.0007962811993305936	True
Pancreas_v_Heart-AtrialAppendage	unproductive	77	75	-0.4038067195961933	-0.5817713507909704	-0.18894399550322633	0.0002707217954359	0.0007962811993305936	True
Cells-EBV-transformedlymphocytes_v_Colon-Sigmoid	unproductive	116	114	-0.3311728751009111	-0.4880602668757281	-0.15355490802089306	0.000282063391367	0.000827529491720486	True
Brain-Cerebellum_v_Uterus	unproductive	189	187	-0.2600472813238771	-0.3904069369528215	-0.11946492807243056	0.0003018412849042	0.0008833071103922401	True
Brain-Spinalcord_cervicalc-1_v_Esophagus-Mucosa	unproductive	128	126	-0.3142224409448819	-0.46588619865078923	-0.14462284534817604	0.0003037497590354	0.0008866417016906739	True
Esophagus-Muscularis_v_Testis	unproductive	226	224	-0.2380575156264213	-0.35906259798023754	-0.10918153157997289	0.0003050232563589	0.000888110642883363	True
Brain-CerebellarHemisphere_v_Artery-Tibial	unproductive	224	222	-0.2386429639120222	-0.36013412649151066	-0.10919215872000211	0.0003134678725514	0.0009103991361505396	True
Heart-AtrialAppendage_v_Brain-Amygdala	unproductive	79	77	-0.3944985394352484	-0.5720221366353858	-0.1816707226143125	0.0003212109012933	0.0009305431386712938	True
WholeBlood_v_Nerve-Tibial	unproductive	154	152	-0.2857553578616197	-0.42735902912433915	-0.1304670829834767	0.0003275912917262	0.0009466485197000215	True
Brain-Cerebellum_v_Lung	unproductive	271	269	-0.2165195475484166	-0.3284773382579588	-0.09856161784794974	0.0003299537236269	0.0009510916083545392	True
Brain-Hypothalamus_v_Nerve-Tibial	unproductive	119	117	-0.3234297108673978	-0.4793571087938965	-0.14770781877871605	0.0003333602780139	0.0009585147145885952	True
Stomach_v_Brain-Putamen_basalganglia	unproductive	82	80	-0.385901328892807	-0.5618624430178045	-0.176530874503071	0.0003428185716906	0.0009813082718525955	True
Brain-Cerebellum_v_Liver	unproductive	262	260	-0.2195464686024039	-0.3332008938955465	-0.09960316172835115	0.000342989794932	0.0009813082718525955	True
Brain-Caudate_basalganglia_v_Pituitary	unproductive	88	86	-0.3729703074918108	-0.5453407402583875	-0.17033549043937152	0.0003451844414837	0.0009851427253235298	True
Brain-Substantianigra_v_Colon-Transverse	unproductive	85	83	-0.3791088528434629	-0.5532843796300163	-0.17317178505325578	0.0003462304695584	0.0009856882256810745	True
Esophagus-GastroesophagealJunction_v_Brain-Hypothalamus	unproductive	96	94	-0.3569180683667933	-0.5248143091391927	-0.16229025759755233	0.000357547929019	0.0010154008920170124	True
Brain-CerebellarHemisphere_v_Lung	unproductive	268	266	-0.2161582547144815	-0.32874491199872674	-0.09751375644857063	0.0003647541361251	0.0010311966832546782	True
Testis_v_Skin-NotSunExposed_Suprapubic	unproductive	269	267	-0.2157557935230908	-0.3281592618860402	-0.09732771148664622	0.0003648987396079	0.0010311966832546782	True
Esophagus-GastroesophagealJunction_v_Spleen	unproductive	78	76	-0.3932396717206843	-0.5720267270287713	-0.17878088131419897	0.0003686648381476	0.001039292318787733	True
Esophagus-Muscularis_v_Brain-Hypothalamus	unproductive	100	98	-0.3491029102910291	-0.5149182275734635	-0.15810641116352345	0.0003711033217189	0.0010436149510777847	True
Muscle-Skeletal_v_Nerve-Tibial	unproductive	100	98	-0.3484788478847884	-0.5143804561910594	-0.1574341031933106	0.0003808219970033	0.0010683400548535398	True
Esophagus-Muscularis_v_Spleen	unproductive	76	74	-0.3966643882433356	-0.5769864004980282	-0.17947016267403681	0.0003889937490115	0.0010886160014812122	True
Pancreas_v_Testis	unproductive	148	146	-0.28753558379637	-0.4316916888923522	-0.12905755791826667	0.0003948615351445	0.00110236162232835	True
Brain-CerebellarHemisphere_v_Skin-SunExposed_Lowerleg	unproductive	269	267	-0.213368720215527	-0.3258974309568104	-0.09487869725904059	0.0004252824397916	0.0011844218673423062	True
Nerve-Tibial_v_Cells-EBV-transformedlymphocytes	unproductive	105	103	-0.3367509848641924	-0.5004562871697189	-0.14979633553903923	0.0004438466641606	0.0012331450693425826	True
Heart-AtrialAppendage_v_Brain-Caudate_basalganglia	unproductive	86	84	-0.3698381999150903	-0.5445524926149728	-0.16436224007621197	0.0004571506734211	0.0012670546309003084	True
Ovary_v_Liver	unproductive	119	117	-0.3158239567013247	-0.4726384273974279	-0.139622763446256	0.0004672472740121	0.0012919331101581568	True
Artery-Coronary_v_Brain-Putamen_basalganglia	unproductive	102	100	-0.3399980774776507	-0.5055151506987876	-0.15034535660416487	0.0004718383388758	0.0013015062313966445	True
Prostate_v_Brain-Amygdala	unproductive	94	92	-0.3530036484485063	-0.5231267007191381	-0.15582685317814346	0.0004834524128388	0.0013303595035874377	True
Heart-AtrialAppendage_v_Brain-Anteriorcingulatecortex_BA24	unproductive	108	106	-0.3294463974391951	-0.4919285547962759	-0.14478815951825105	0.0004984438677011	0.0013683470939508768	True
Esophagus-Mucosa_v_Cells-EBV-transformedlymphocytes	unproductive	56	54	-0.4494873547505127	-0.6449192206756935	-0.1988785752131652	0.0005103803039204	0.0013977873881715467	True
MinorSalivaryGland_v_Brain-Hypothalamus	unproductive	125	123	-0.306132104454685	-0.4604077364953019	-0.133906212034587	0.0005165547904385	0.0014113451975724894	True
Brain-Putamen_basalganglia_v_Ovary	unproductive	119	117	-0.3131676399373309	-0.4702880852763818	-0.13680397325977353	0.0005246333821826	0.001430029053561555	True
Brain-Substantianigra_v_SmallIntestine-TerminalIleum	unproductive	141	139	-0.2882700458067553	-0.4357337744553275	-0.1257354444744022	0.0005274125188083	0.0014342137598725706	True
Esophagus-GastroesophagealJunction_v_Brain-Cerebellum	unproductive	195	193	-0.2455129553804074	-0.3749720987689058	-0.10666115139784058	0.0005412573631849	0.001468399387652211	True
Heart-AtrialAppendage_v_Brain-Hypothalamus	unproductive	94	92	-0.3497236571180869	-0.5203196607471603	-0.15228587348015327	0.0005500659413288	0.001488793498479123	True
Testis_v_Uterus	unproductive	289	287	-0.2009500656246271	-0.31021351612585285	-0.08644684933854037	0.0005893570623516	0.00159140209108055	True
Esophagus-Muscularis_v_Brain-Hippocampus	unproductive	92	90	-0.3513401044957847	-0.5234229983102546	-0.1517201441433976	0.0005946887169502	0.0016020469407560295	True
Testis_v_SmallIntestine-TerminalIleum	unproductive	282	280	-0.2026104584756825	-0.3131114555419907	-0.0866969791980311	0.0006196498041627	0.0016653991240083755	True
Brain-Cortex_v_Pituitary	unproductive	97	95	-0.3410740584893751	-0.5103910884620055	-0.14629909887083895	0.0006290692205673	0.0016867832821258065	True
Testis_v_Brain-Substantianigra	unproductive	234	232	-0.2215702113610981	-0.3415410768589697	-0.09449472235433576	0.0006407491132875	0.0017141153773097158	True
Vagina_v_Cells-EBV-transformedlymphocytes	unproductive	86	84	-0.3599886787112599	-0.5362431470954327	-0.1536517796560232	0.0006629925380814	0.0017695148064996624	True
Esophagus-Mucosa_v_Pituitary	unproductive	82	80	-0.3680086198452346	-0.5469189800483193	-0.15695269692664	0.0006701643658221	0.0017845254360112734	True
Cells-Culturedfibroblasts_v_Spleen	unproductive	94	92	-0.3435393562836398	-0.5150178589204522	-0.1456221159974062	0.0006990147780819	0.0018570599979917757	True
Cells-Culturedfibroblasts_v_Kidney-Cortex	unproductive	85	83	-0.3600742622630447	-0.5372761575285514	-0.15242673435197093	0.0007121444093706	0.0018875919632282798	True
Artery-Coronary_v_Muscle-Skeletal	unproductive	106	104	-0.3231730357457742	-0.48788846162252125	-0.13623455250763045	0.0007275902137862	0.0019241089827878178	True
Artery-Aorta_v_Brain-CerebellarHemisphere	unproductive	245	243	-0.2134786901565904	-0.33125025303703565	-0.08915732665316747	0.0007703466591224	0.002027876022758281	True
Spleen_v_Artery-Tibial	unproductive	114	112	-0.3095563070816711	-0.4703274019566524	-0.12889752623187878	0.0008039002409718	0.002105179185021602	True
Liver_v_Nerve-Tibial	unproductive	107	105	-0.3190305452693038	-0.4835346764845189	-0.13275921196443252	0.0008101990437123	0.002113483025792493	True
Heart-LeftVentricle_v_Brain-Hippocampus	unproductive	83	81	-0.3600394609798077	-0.5392175854667854	-0.14967766472745384	0.0008280687197345	0.0021485909569458474	True
Brain-Cerebellum_v_Cells-EBV-transformedlymphocytes	unproductive	327	325	-0.1839852453232699	-0.287564296090283	-0.07615224530397197	0.0008291610891776	0.0021485909569458474	True
Cells-Culturedfibroblasts_v_WholeBlood	unproductive	128	126	-0.2918707654275773	-0.44593048167103416	-0.12101497459523353	0.0008292480276157	0.0021485909569458474	True
Pituitary_v_Muscle-Skeletal	unproductive	154	152	-0.2663561612328216	-0.40969238933567925	-0.11018452338313448	0.0008408302540598	0.0021688529819484325	True
Vagina_v_Brain-Cerebellum	unproductive	204	202	-0.2318550296485289	-0.3594374837616307	-0.09576384706744366	0.0008475196147748	0.0021812279371324654	True
Esophagus-GastroesophagealJunction_v_Brain-Caudate_basalganglia	unproductive	92	90	-0.3412141855339611	-0.5147593086558627	-0.14080692531717628	0.000872988461129	0.0022417721507388354	True
Heart-AtrialAppendage_v_Ovary	unproductive	51	49	-0.4517647058823529	-0.6549368429274038	-0.18768372743680584	0.0008755161980257	0.00224326705849696	True
