tissue_pair	splicing_class	n_genes	df	spearman_rho	ci_low_95	ci_high_95	p_value_two_sided	bh_adjusted_p	significant_at_fdr_0.1
Kidney-Cortex_v_Brain-Anteriorcingulatecortex_BA24	unproductive	140	138	-0.6479718352977194	-0.742480970093935	-0.5281699272432056	4.9985883221913474e-18	1.440843083871656e-15	True
Esophagus-Mucosa_v_Brain-FrontalCortex_BA9	unproductive	186	184	-0.5732461804568066	-0.668861150017451	-0.4589731401317816	1.223403847845131e-17	2.624720533817182e-15	True
Brain-Cortex_v_Lung	unproductive	171	169	-0.592591259269926	-0.6887656979128223	-0.4759207092608176	1.3658563055423324e-17	2.624720533817182e-15	True
Brain-FrontalCortex_BA9_v_Cells-EBV-transformedlymphocytes	unproductive	252	250	-0.5011941693043375	-0.5932568194138393	-0.3961909390372693	1.966000819234835e-17	3.238284206539664e-15	True
Kidney-Cortex_v_Brain-FrontalCortex_BA9	unproductive	165	163	-0.5963321133758984	-0.6934417863521052	-0.47794390802673914	2.887769324994913e-17	4.156499405473805e-15	True
Brain-Amygdala_v_Cells-EBV-transformedlymphocytes	unproductive	202	200	-0.5478113505049498	-0.6435714843031312	-0.43516532702191896	3.244448798721964e-17	4.156499405473805e-15	True
Brain-Cortex_v_SmallIntestine-TerminalIleum	unproductive	183	181	-0.5673693733209059	-0.6646178482338572	-0.45121872697622417	5.564043031489068e-17	6.415341615306895e-15	True
Brain-Cortex_v_Testis	unproductive	290	288	-0.4609092485826433	-0.5512307505140037	-0.35991027547667953	1.1692911754913646e-16	1.225629750310494e-14	True
Testis_v_Brain-Cerebellum	unproductive	428	426	-0.3758262573951252	-0.4570394187303812	-0.2883983324632026	8.320395534242668e-16	7.994513375818163e-14	True
SmallIntestine-TerminalIleum_v_Brain-FrontalCortex_BA9	unproductive	211	209	-0.5158275954573908	-0.6139862664548389	-0.4019571844752381	9.632674131505297e-16	8.033312140424681e-14	True
Lung_v_Brain-FrontalCortex_BA9	unproductive	187	185	-0.5429679327898876	-0.6429161539866054	-0.4248379571833456	9.901110883403925e-16	8.033312140424681e-14	True
MinorSalivaryGland_v_Brain-FrontalCortex_BA9	unproductive	189	187	-0.5401517979345527	-0.6400197401154728	-0.4223367380445214	1.0450969827091954e-15	8.033312140424681e-14	True
Brain-Anteriorcingulatecortex_BA24_v_WholeBlood	unproductive	222	220	-0.5019904347258608	-0.5995868525378198	-0.3896822096158156	1.4237939201799576e-15	9.809178907328007e-14	True
Testis_v_Brain-Anteriorcingulatecortex_BA24	unproductive	227	225	-0.4970299711307039	-0.594218387011306	-0.3855359569281936	1.4462796307422039e-15	9.809178907328007e-14	True
Brain-Anteriorcingulatecortex_BA24_v_Cells-EBV-transformedlymphocytes	unproductive	228	226	-0.4945199695851984	-0.5918107845900344	-0.38302800455121716	1.8271312608778278e-15	1.1361719928291991e-13	True
Testis_v_Brain-CerebellarHemisphere	unproductive	429	427	-0.3709842645943493	-0.45241888180096573	-0.28341404811284737	1.912728321349768e-15	1.1361719928291991e-13	True
Brain-Caudate_basalganglia_v_Cells-EBV-transformedlymphocytes	unproductive	220	218	-0.501785724348174	-0.5998212723087076	-0.3889072761289826	1.9708100482726784e-15	1.1361719928291991e-13	True
Stomach_v_Brain-FrontalCortex_BA9	unproductive	150	148	-0.5872207653673497	-0.6902591019898265	-0.4608393406938533	2.8328148432049094e-15	1.55535024486441e-13	True
Brain-Nucleusaccumbens_basalganglia_v_Cells-EBV-transformedlymphocytes	unproductive	221	219	-0.4965123906300377	-0.594990227261789	-0.3833472474643423	3.702931738197609e-15	1.9406728609735651e-13	True
Brain-Cortex_v_Cells-EBV-transformedlymphocytes	unproductive	238	236	-0.4800348400575209	-0.5770630387326892	-0.3696441657666389	4.026292822195505e-15	2.0183980973875729e-13	True
Brain-Cortex_v_Kidney-Cortex	unproductive	138	136	-0.6022183205514293	-0.7064017172876971	-0.472493941086456	5.5740537895046735e-15	2.6778683413745366e-13	True
Brain-Cortex_v_Esophagus-Mucosa	unproductive	157	155	-0.5660944312480232	-0.6706252043649313	-0.43951925082351856	1.1066830291376002e-14	5.104022130382612e-13	True
Brain-Hypothalamus_v_Cells-EBV-transformedlymphocytes	unproductive	219	217	-0.4881762199092852	-0.5880915591733342	-0.3735845684652623	1.6258376254407762e-14	7.209964546666211e-13	True
Skin-SunExposed_Lowerleg_v_Brain-FrontalCortex_BA9	unproductive	221	219	-0.4812244988715576	-0.5815468373271336	-0.36648468698372927	3.279576193113097e-14	1.4005005002442225e-12	True
Cells-Culturedfibroblasts_v_Brain-FrontalCortex_BA9	unproductive	195	193	-0.5071242454158507	-0.6101236255331525	-0.3872690694075368	3.8709713087479254e-14	1.5940106853522708e-12	True
Brain-Nucleusaccumbens_basalganglia_v_Kidney-Cortex	unproductive	135	133	-0.5898302604623941	-0.6974107229403342	-0.45625383619483784	5.1825094318698466e-14	2.0604942672227355e-12	True
Vagina_v_Brain-FrontalCortex_BA9	unproductive	185	183	-0.514961525340207	-0.6194256997018035	-0.3925782395289028	6.417033066632191e-14	2.466279708608972e-12	True
Brain-CerebellarHemisphere_v_Kidney-Cortex	unproductive	236	234	-0.4613118361049359	-0.5608254546978705	-0.348659020397691	7.721676067352448e-14	2.871965324405604e-12	True
Colon-Transverse_v_Brain-FrontalCortex_BA9	unproductive	161	159	-0.5429692891649414	-0.6500472418270354	-0.4147486254138831	9.991113878566169e-14	3.5999232193708725e-12	True
Adipose-Subcutaneous_v_Brain-FrontalCortex_BA9	unproductive	180	178	-0.5162134633784994	-0.6218348712441234	-0.39214841756465296	1.1987824674108677e-13	4.188473287650698e-12	True
Brain-Cortex_v_MinorSalivaryGland	unproductive	162	160	-0.5386113545622748	-0.6460704291778729	-0.41021585282524686	1.436351426535562e-13	4.8709211611632445e-12	True
WholeBlood_v_Brain-FrontalCortex_BA9	unproductive	229	227	-0.4616789743487255	-0.5625727465178391	-0.34723541529833524	1.7229063550407158e-13	5.675745792462701e-12	True
Kidney-Cortex_v_Brain-Hypothalamus	unproductive	130	128	-0.588239631839845	-0.6979713837682705	-0.45151859634266767	1.8522791443699612e-13	5.932438481829348e-12	True
Kidney-Cortex_v_Brain-Hippocampus	unproductive	122	120	-0.6020302622752551	-0.7121818995618378	-0.4629452711981476	2.2234008452865666e-13	6.9285977692308414e-12	True
Brain-Anteriorcingulatecortex_BA24_v_SmallIntestine-TerminalIleum	unproductive	170	168	-0.523688790371334	-0.6310387018191601	-0.3966589437858777	2.3397074423851365e-13	7.099164950184374e-12	True
Brain-Anteriorcingulatecortex_BA24_v_Adipose-Subcutaneous	unproductive	163	161	-0.5325424931140926	-0.6406397519063238	-0.40374633860635806	2.540727706034226e-13	7.51143344886529e-12	True
Testis_v_Brain-FrontalCortex_BA9	unproductive	256	254	-0.4356403067063401	-0.5340348718391413	-0.3256026335157901	2.788751468938275e-13	8.038576109214578e-12	True
Brain-Cortex_v_Stomach	unproductive	133	131	-0.5788198447271502	-0.6891983265293904	-0.4421861788078654	2.9315984424702053e-13	8.244226839434504e-12	True
Brain-Nucleusaccumbens_basalganglia_v_Esophagus-Mucosa	unproductive	168	166	-0.5235370341312304	-0.6314973293289273	-0.3956636050558792	3.302977843524718e-13	9.067460603771428e-12	True
Brain-Putamen_basalganglia_v_Cells-EBV-transformedlymphocytes	unproductive	201	199	-0.4832865376089848	-0.5879065583720381	-0.36276496737542796	3.6828542462468424e-13	9.87518824633165e-12	True
Brain-Nucleusaccumbens_basalganglia_v_SmallIntestine-TerminalIleum	unproductive	176	174	-0.5118556020250936	-0.6192046617992908	-0.3857246801148431	3.8574356027788724e-13	1.010823465910009e-11	True
Breast-MammaryTissue_v_Brain-FrontalCortex_BA9	unproductive	180	178	-0.5060732327129438	-0.6131198888719438	-0.38077734245046485	4.260182731408854e-13	1.0915534865143131e-11	True
Brain-Anteriorcingulatecortex_BA24_v_Lung	unproductive	174	172	-0.5132412654118853	-0.6209609690819254	-0.3864950185327777	4.442085283906697e-13	1.103062443808205e-11	True
Brain-Cortex_v_Adipose-Subcutaneous	unproductive	177	175	-0.5093467045238137	-0.6167698598229411	-0.38329764932341953	4.496438409278893e-13	1.103062443808205e-11	True
Testis_v_Brain-Putamen_basalganglia	unproductive	228	226	-0.4548065815038722	-0.556672692017772	-0.3394659644539999	4.86148411350737e-13	1.1554144817405268e-11	True
Brain-Anteriorcingulatecortex_BA24_v_Breast-MammaryTissue	unproductive	152	150	-0.5430361060422775	-0.6529639878723513	-0.4107012734871777	4.910261023875613e-13	1.1554144817405268e-11	True
Brain-Cortex_v_Spleen	unproductive	205	203	-0.4758521263110974	-0.5804282547192464	-0.3558347651495891	5.567197404303578e-13	1.283795721432405e-11	True
Brain-Amygdala_v_Kidney-Cortex	unproductive	124	122	-0.5841510621557828	-0.6970406275012663	-0.443002785081623	1.0653391315710625e-12	2.4085019974537945e-11	True
Muscle-Skeletal_v_Cells-EBV-transformedlymphocytes	unproductive	192	190	-0.4801138675636817	-0.587402166073728	-0.35624120972074197	1.8311156661403224e-12	4.060146852038061e-11	True
Cells-Culturedfibroblasts_v_Brain-Hypothalamus	unproductive	147	145	-0.5380886897520949	-0.6505288254498109	-0.4025664230094293	2.08606815086098e-12	4.538182222533415e-11	True
Brain-Cortex_v_Colon-Transverse	unproductive	137	135	-0.553829783262083	-0.6672248145606337	-0.41534485905527946	2.2218699996700605e-12	4.7441039067029255e-11	True
Skin-NotSunExposed_Suprapubic_v_Brain-FrontalCortex_BA9	unproductive	206	204	-0.4624962678499727	-0.5684393087282674	-0.34146524662638916	2.586006435233077e-12	5.421209854224978e-11	True
Brain-Nucleusaccumbens_basalganglia_v_Adipose-Subcutaneous	unproductive	177	175	-0.4930034971693703	-0.6026987258284215	-0.3650208190660131	3.1468219063480494e-12	6.479081532177323e-11	True
Brain-Anteriorcingulatecortex_BA24_v_Colon-Transverse	unproductive	141	139	-0.5435849137377455	-0.6572596609278744	-0.40572771537196006	3.278795348026712e-12	6.632370239078595e-11	True
Brain-Cerebellum_v_Kidney-Cortex	unproductive	219	217	-0.4472608452249021	-0.5519212446274149	-0.3287282932924019	3.6126245274426314e-12	7.151644146979582e-11	True
Brain-Cortex_v_Cells-Culturedfibroblasts	unproductive	177	175	-0.4916985509253649	-0.6015720159917148	-0.3635660112266531	3.659557716147401e-12	7.151644146979582e-11	True
Brain-Anteriorcingulatecortex_BA24_v_Spleen	unproductive	232	230	-0.4353907155446299	-0.5385041106582086	-0.31942985268253626	3.772635670338243e-12	7.249748213166655e-11	True
Brain-Nucleusaccumbens_basalganglia_v_Cells-Culturedfibroblasts	unproductive	154	152	-0.5200768870598093	-0.6329892660704801	-0.3854986008220448	4.761703384179595e-12	9.000400003211595e-11	True
Brain-Substantianigra_v_Cells-EBV-transformedlymphocytes	unproductive	179	177	-0.4841148285313749	-0.5944365159750669	-0.3559062045062218	6.616268403219737e-12	1.230412494985864e-10	True
Brain-Nucleusaccumbens_basalganglia_v_WholeBlood	unproductive	223	221	-0.4366029225894696	-0.5415318990655941	-0.31827926699886155	8.550216399598536e-12	1.5648253188471604e-10	True
Stomach_v_Brain-Anteriorcingulatecortex_BA24	unproductive	128	126	-0.5560451382530671	-0.6725902199747634	-0.41258431831717957	9.511438276452056e-12	1.7135450519920656e-10	True
Brain-Cortex_v_Adipose-Visceral_Omentum	unproductive	136	134	-0.5400124039883593	-0.656189501594931	-0.3988277394050113	1.1637068166888078e-11	2.0409846276748265e-10	True
Kidney-Cortex_v_Brain-Putamen_basalganglia	unproductive	108	106	-0.5945487629445444	-0.712459663528803	-0.4439855568579846	1.1682999603342459e-11	2.0409846276748265e-10	True
Spleen_v_Brain-FrontalCortex_BA9	unproductive	229	227	-0.4277327550887853	-0.5322835054312028	-0.31033029049223465	1.3307031232277908e-11	2.2900010463905117e-10	True
Brain-Cortex_v_Breast-MammaryTissue	unproductive	158	156	-0.5035802354573377	-0.61765344031039	-0.36875402683747244	1.5380372828856323e-11	2.5856150341878994e-10	True
Cells-Culturedfibroblasts_v_Brain-Hippocampus	unproductive	148	146	-0.5180593550679842	-0.6333719717509916	-0.3802398955084242	1.547332500945057e-11	2.5856150341878994e-10	True
Brain-Cortex_v_Vagina	unproductive	157	155	-0.5038204156562618	-0.6181928092669965	-0.36855627390316575	1.7406589600140508e-11	2.867113972708858e-10	True
Brain-Anteriorcingulatecortex_BA24_v_Liver	unproductive	188	186	-0.4601802036094902	-0.571047756790877	-0.332826524058648	3.050687162555903e-11	4.944903933208123e-10	True
Brain-Nucleusaccumbens_basalganglia_v_Testis	unproductive	250	248	-0.4040716171458742	-0.5066448970512073	-0.29021903776718316	3.087884502957371e-11	4.944903933208123e-10	True
Brain-Anteriorcingulatecortex_BA24_v_Adipose-Visceral_Omentum	unproductive	134	132	-0.5337148842254891	-0.651762748826006	-0.3904184595477571	3.132399916010786e-11	4.94747548378142e-10	True
Testis_v_Brain-Caudate_basalganglia	unproductive	226	224	-0.4228903356594285	-0.5285982813805142	-0.3042670593505815	3.2197341229506126e-11	5.016693842921698e-10	True
Brain-Nucleusaccumbens_basalganglia_v_Skin-SunExposed_Lowerleg	unproductive	197	195	-0.4498334636115637	-0.5595348252080327	-0.324641921773029	3.324415661435213e-11	5.110735010179734e-10	True
Brain-Cerebellum_v_SmallIntestine-TerminalIleum	unproductive	241	239	-0.4095032749219849	-0.513358038601054	-0.29382695423907423	3.676118363588558e-11	5.538280527930643e-10	True
Esophagus-Mucosa_v_Brain-Anteriorcingulatecortex_BA24	unproductive	149	147	-0.5081697805187738	-0.624666365760778	-0.36954612414456156	3.698591506076839e-11	5.538280527930643e-10	True
Cells-Culturedfibroblasts_v_Brain-Amygdala	unproductive	138	136	-0.5247917185134786	-0.6427565263152536	-0.38251569838842325	3.916423042763511e-11	5.789276626033755e-10	True
Brain-Caudate_basalganglia_v_SmallIntestine-TerminalIleum	unproductive	147	145	-0.5102645278770523	-0.6271618504991789	-0.3708865161480295	4.0573543292710524e-11	5.92168296411332e-10	True
Brain-Anteriorcingulatecortex_BA24_v_Skin-SunExposed_Lowerleg	unproductive	198	196	-0.4438582699685167	-0.5539984004456989	-0.31844800205981266	5.7686383645766627e-11	8.314050042946115e-10	True
Brain-Caudate_basalganglia_v_WholeBlood	unproductive	202	200	-0.4391035603817715	-0.5487570269117589	-0.3145962272248734	6.269141217341443e-11	8.923851634067511e-10	True
Brain-Hypothalamus_v_SmallIntestine-TerminalIleum	unproductive	167	165	-0.4745766642274831	-0.5898239502602466	-0.3403831941737389	9.221066788897687e-11	1.2965719521462235e-09	True
Adipose-Visceral_Omentum_v_Brain-FrontalCortex_BA9	unproductive	152	150	-0.4943240454076367	-0.6118414664504427	-0.35545491714473704	9.649599244081474e-11	1.34048047330433e-09	True
MinorSalivaryGland_v_Brain-Anteriorcingulatecortex_BA24	unproductive	153	151	-0.4926152279093455	-0.6100298168401742	-0.35403244124783007	9.926874468413969e-11	1.3625816978668222e-09	True
Brain-Cortex_v_Liver	unproductive	212	210	-0.4227430216639189	-0.5317115740611656	-0.300005932523764	1.3406789222202076e-10	1.8185915262587051e-09	True
Brain-Cortex_v_Artery-Coronary	unproductive	130	128	-0.5193980526840458	-0.6415435372605318	-0.3715650578309	2.4244850018008023e-10	3.2505014035771222e-09	True
Vagina_v_Brain-Anteriorcingulatecortex_BA24	unproductive	169	167	-0.4623489632539407	-0.5785901966920611	-0.32769944190493466	2.480400574653659e-10	3.287243520201918e-09	True
Heart-AtrialAppendage_v_Cells-EBV-transformedlymphocytes	unproductive	146	144	-0.4922233040594604	-0.6122637755900118	-0.3500019945599652	2.7890734562535897e-10	3.654320108023169e-09	True
Brain-Cortex_v_Skin-NotSunExposed_Suprapubic	unproductive	189	187	-0.4367070157663663	-0.5501260162991917	-0.30746840799845787	3.3386894611973476e-10	4.325290953663531e-09	True
Brain-Nucleusaccumbens_basalganglia_v_Lung	unproductive	166	164	-0.4617599412347266	-0.5790538991697808	-0.3257386114411228	3.8030822458605815e-10	4.8721709216413895e-09	True
Brain-Hypothalamus_v_Spleen	unproductive	199	197	-0.4251636972742501	-0.5371673557888132	-0.29842625163818004	3.8636048690794387e-10	4.895314740712739e-09	True
Brain-Nucleusaccumbens_basalganglia_v_Stomach	unproductive	114	112	-0.5417508758429356	-0.667291642254813	-0.3862766467937884	4.834051381322601e-10	5.955895413753889e-09	True
Brain-Putamen_basalganglia_v_SmallIntestine-TerminalIleum	unproductive	143	141	-0.4908688729111264	-0.6122709737278993	-0.34685362112496027	4.846961857853127e-10	5.955895413753889e-09	True
Kidney-Cortex_v_Cells-EBV-transformedlymphocytes	unproductive	140	138	-0.495379501869629	-0.6172754579165634	-0.35025756388559787	4.893617669167042e-10	5.955895413753889e-09	True
Brain-Putamen_basalganglia_v_Adipose-Subcutaneous	unproductive	147	145	-0.4847788800822069	-0.6055549476188649	-0.34217379766637085	4.907285900317602e-10	5.955895413753889e-09	True
Brain-Nucleusaccumbens_basalganglia_v_Ovary	unproductive	155	153	-0.472711159807934	-0.5922832592730004	-0.3327664853978598	5.281411335909106e-10	6.343195073232499e-09	True
Brain-Nucleusaccumbens_basalganglia_v_Vagina	unproductive	158	156	-0.4684700445266589	-0.5875716409257156	-0.3295003300356682	5.387115558222854e-10	6.403447668691701e-09	True
Brain-Cortex_v_Skin-SunExposed_Lowerleg	unproductive	204	202	-0.4154794297870536	-0.5272319251892238	-0.2895985258898868	6.434983630461766e-10	7.570955230533077e-09	True
Brain-Amygdala_v_Lung	unproductive	152	150	-0.470280688085621	-0.5912868177567905	-0.3285652489005755	9.76617780703152e-10	1.130354763400879e-08	True
Liver_v_Brain-FrontalCortex_BA9	unproductive	211	209	-0.4050395370524137	-0.5161122989452487	-0.2805692692605648	9.80359725412731e-10	1.130354763400879e-08	True
Esophagus-Mucosa_v_Brain-Putamen_basalganglia	unproductive	127	125	-0.5085477596550431	-0.6338424272010941	-0.3572455567918415	1.033945755842104e-09	1.1803360955306395e-08	True
Esophagus-GastroesophagealJunction_v_Brain-FrontalCortex_BA9	unproductive	144	142	-0.4744996382927418	-0.5979584343227	-0.329047553307926	1.8768162889127873e-09	2.1215384128592587e-08	True
Brain-Nucleusaccumbens_basalganglia_v_MinorSalivaryGland	unproductive	159	157	-0.4533406973967041	-0.5741457018842441	-0.31321755201317414	1.965584255342426e-09	2.2003093654464244e-08	True
Brain-Amygdala_v_WholeBlood	unproductive	194	192	-0.4137278991506863	-0.5283568469235962	-0.2842857176017683	2.020291230955524e-09	2.23980364354973e-08	True
Brain-Nucleusaccumbens_basalganglia_v_Breast-MammaryTissue	unproductive	159	157	-0.4513643420109864	-0.5724327035677704	-0.31103512717116494	2.3546380770370913e-09	2.5856168598321585e-08	True
Artery-Coronary_v_Brain-FrontalCortex_BA9	unproductive	152	150	-0.4593969340960503	-0.5819276317306612	-0.31647136401087916	2.6289200898326703e-09	2.859570626016103e-08	True
Cells-Culturedfibroblasts_v_Brain-Anteriorcingulatecortex_BA24	unproductive	159	157	-0.4494387389539049	-0.5707626530527987	-0.30891019486025756	2.8045487031757687e-09	2.995679752711408e-08	True
Ovary_v_Brain-FrontalCortex_BA9	unproductive	165	163	-0.4419442737691342	-0.5621546000189351	-0.303446357518902	2.8060139921321086e-09	2.995679752711408e-08	True
Muscle-Skeletal_v_Brain-FrontalCortex_BA9	unproductive	156	154	-0.4503516618988161	-0.5726354145764255	-0.3084643018557626	3.660775586421323e-09	3.8723616982970505e-08	True
Heart-LeftVentricle_v_Cells-EBV-transformedlymphocytes	unproductive	129	127	-0.4880087209302326	-0.6157646696417708	-0.3352507903157093	4.458566431190382e-09	4.673388268329555e-08	True
Testis_v_Brain-Amygdala	unproductive	223	221	-0.378128408677736	-0.4889325853700358	-0.25531605483806713	5.445905360964381e-09	5.656872865938676e-08	True
Brain-Caudate_basalganglia_v_Spleen	unproductive	181	179	-0.4161354299475846	-0.5342988200925898	-0.2820202817159478	5.671452453082322e-09	5.838557748574926e-08	True
Brain-Nucleusaccumbens_basalganglia_v_Colon-Transverse	unproductive	137	135	-0.4701915358336289	-0.5971745973467542	-0.32021646908843765	6.744061234267171e-09	6.88132973726553e-08	True
Brain-Nucleusaccumbens_basalganglia_v_Spleen	unproductive	209	207	-0.3870984278879015	-0.5004924009009515	-0.2606467128450525	7.039911462595625e-09	7.120191154712943e-08	True
Spleen_v_Muscle-Skeletal	unproductive	186	184	-0.4076936346386061	-0.52529660267812	-0.27480773922146556	7.666663609491572e-09	7.686663601516333e-08	True
Pancreas_v_Brain-FrontalCortex_BA9	unproductive	194	192	-0.3996934746253693	-0.5158418500874192	-0.2691162525550629	7.760679309741249e-09	7.694023789694017e-08	True
Brain-Caudate_basalganglia_v_Adipose-Subcutaneous	unproductive	141	139	-0.462412774519457	-0.5888550599076855	-0.31387699992732315	7.807465597521249e-09	7.694023789694017e-08	True
Prostate_v_Brain-FrontalCortex_BA9	unproductive	149	147	-0.4509269000544169	-0.5757734851592842	-0.3055314452854851	7.878439195058458e-09	7.698169823646104e-08	True
Prostate_v_Brain-Cerebellum	unproductive	187	185	-0.4057803192406931	-0.523297524903519	-0.27311670115114617	8.334145734501868e-09	8.075016833513153e-08	True
Adipose-Visceral_Omentum_v_Brain-Hippocampus	unproductive	90	88	-0.559698728238054	-0.6954234455423322	-0.385416874266809	9.756327378771566e-09	9.374204556436345e-08	True
Brain-Hypothalamus_v_WholeBlood	unproductive	210	208	-0.3825852870003531	-0.49616708611861404	-0.2561287174313385	1.0006854484499512e-08	9.535457207130526e-08	True
Brain-Amygdala_v_SmallIntestine-TerminalIleum	unproductive	154	152	-0.4413136515603309	-0.565543451628476	-0.297501117566029	1.0115829519996653e-08	9.560288062750935e-08	True
Esophagus-Mucosa_v_Brain-Caudate_basalganglia	unproductive	141	139	-0.458979408365084	-0.585918239099155	-0.3100560252673367	1.0393581549819154e-08	9.742926444667872e-08	True
Adipose-Visceral_Omentum_v_Brain-Hypothalamus	unproductive	117	115	-0.4980817935230558	-0.6299731476138192	-0.3382649289767637	1.1026103701391613e-08	1.0252498038471395e-07	True
WholeBlood_v_Muscle-Skeletal	unproductive	196	194	-0.3936265330028927	-0.5098510632367386	-0.2632898879208905	1.14563532321245e-08	1.056734022131164e-07	True
Brain-Cortex_v_Muscle-Skeletal	unproductive	159	157	-0.4319351564365895	-0.5555351542328867	-0.28965947925085744	1.308895810814043e-08	1.1977435475147552e-07	True
Brain-Anteriorcingulatecortex_BA24_v_Skin-NotSunExposed_Suprapubic	unproductive	181	179	-0.406204844878878	-0.5254964534807179	-0.2712497253621584	1.3982697622212569e-08	1.2694527841268576e-07	True
Cells-EBV-transformedlymphocytes_v_Brain-Hippocampus	unproductive	204	202	-0.3836668056625509	-0.4987152719549483	-0.25533346423621894	1.474890399365928e-08	1.3184260409789572e-07	True
Brain-Nucleusaccumbens_basalganglia_v_Adipose-Visceral_Omentum	unproductive	131	129	-0.4700475097421662	-0.5997058402199241	-0.31634008560759247	1.47508204064428e-08	1.3184260409789572e-07	True
Prostate_v_Brain-Caudate_basalganglia	unproductive	100	98	-0.5283768376837683	-0.6642216968893856	-0.35874991390500216	1.6037931083100724e-08	1.422441118370395e-07	True
Brain-Nucleusaccumbens_basalganglia_v_Liver	unproductive	179	177	-0.4065218755884753	-0.5264041963652594	-0.2707907175555282	1.6369607320738052e-08	1.4407753618939674e-07	True
Brain-CerebellarHemisphere_v_SmallIntestine-TerminalIleum	unproductive	232	230	-0.3593983343872347	-0.4698125965781623	-0.23791214157774304	1.7607983017817893e-08	1.5380306378442446e-07	True
Brain-Cortex_v_Ovary	unproductive	158	156	-0.429377250482613	-0.5536692026204139	-0.28637112103115087	1.8076306603867653e-08	1.5670662792676244e-07	True
Esophagus-Muscularis_v_Brain-FrontalCortex_BA9	unproductive	140	138	-0.4527607093656383	-0.5810130537594342	-0.3025681368374989	1.948342247049674e-08	1.6764467245136376e-07	True
Brain-Putamen_basalganglia_v_Spleen	unproductive	186	184	-0.3933544377567147	-0.5125240537075785	-0.25931847354885956	2.7919426234302727e-08	2.3845258109741515e-07	True
Brain-Caudate_basalganglia_v_Muscle-Skeletal	unproductive	122	120	-0.476725012474349	-0.6096352835354154	-0.3177426537813273	2.8417351282292465e-08	2.409206325623766e-07	True
Cells-Culturedfibroblasts_v_Brain-Putamen_basalganglia	unproductive	128	126	-0.4657457425379968	-0.5974616090247057	-0.3095586659662496	3.0273664949875223e-08	2.5398730713655583e-07	True
Brain-Putamen_basalganglia_v_Lung	unproductive	130	128	-0.4624260880252359	-0.593707893700096	-0.30716557478298884	3.045741814057319e-08	2.5398730713655583e-07	True
Brain-Cortex_v_Prostate	unproductive	141	139	-0.4456612012500535	-0.5744936168029362	-0.2952806418530845	3.0619458535976805e-08	2.5398730713655583e-07	True
Adipose-Subcutaneous_v_Brain-Hippocampus	unproductive	129	127	-0.4601632379248659	-0.5922578163446697	-0.3039809946929447	4.099012405930111e-08	3.37582950288387e-07	True
Brain-Putamen_basalganglia_v_WholeBlood	unproductive	200	198	-0.3752073801845046	-0.4921872935302241	-0.2449160563999817	4.3925405985047726e-08	3.5919144043092215e-07	True
Esophagus-Mucosa_v_Heart-LeftVentricle	unproductive	66	64	-0.6129422815989981	-0.7542532341927463	-0.4173617480800732	4.48768978481276e-08	3.6438776914712057e-07	True
Testis_v_Brain-Hypothalamus	unproductive	240	238	-0.3436422507335196	-0.4536088163194203	-0.2233684034211507	4.677067843848664e-08	3.7583071195088854e-07	True
Heart-AtrialAppendage_v_WholeBlood	unproductive	119	117	-0.4753311494089162	-0.6099974826413995	-0.31397864821685123	4.6938094120492584e-08	3.7583071195088854e-07	True
Brain-Hypothalamus_v_Colon-Transverse	unproductive	118	116	-0.4756609293000121	-0.6107959356713399	-0.31359968251436626	5.2289138989383806e-08	4.15788808653514e-07	True
Stomach_v_Muscle-Skeletal	unproductive	108	106	-0.4906303885983213	-0.6287504113408617	-0.3224989060331429	7.030465077005305e-08	5.552141256018573e-07	True
Brain-Nucleusaccumbens_basalganglia_v_Skin-NotSunExposed_Suprapubic	unproductive	172	170	-0.3959855951210194	-0.5193462434213355	-0.2564584255582049	7.57941601931288e-08	5.944943313107313e-07	True
Brain-CerebellarHemisphere_v_MinorSalivaryGland	unproductive	219	217	-0.3532532818444595	-0.46730133491220305	-0.22764081862793614	7.788814628893632e-08	6.067907612915106e-07	True
Brain-Caudate_basalganglia_v_Skin-SunExposed_Lowerleg	unproductive	178	176	-0.3881282522403288	-0.510371721691818	-0.2505096821772073	8.643585146122456e-08	6.688626626496102e-07	True
Brain-Caudate_basalganglia_v_Kidney-Cortex	unproductive	111	109	-0.4804492804492805	-0.6186112433679151	-0.3134657022375075	9.474585662901523e-08	7.282798179550304e-07	True
Esophagus-Mucosa_v_Brain-Hypothalamus	unproductive	125	123	-0.4545745007680491	-0.5894609430563316	-0.2950263114781435	1.0081712377670113e-07	7.698155212883206e-07	True
Brain-Cortex_v_Esophagus-Muscularis	unproductive	120	118	-0.4619001319536078	-0.5982021275800036	-0.29962305742787065	1.0942689460417477e-07	8.300605886750889e-07	True
Testis_v_Brain-Hippocampus	unproductive	246	244	-0.3301455192524328	-0.43989768480777447	-0.21067653620620871	1.1508206353788065e-07	8.640984121838626e-07	True
Brain-Hypothalamus_v_Liver	unproductive	157	155	-0.4077611495978019	-0.5351222036504466	-0.2622755738994716	1.1541297092481773e-07	8.640984121838626e-07	True
Brain-CerebellarHemisphere_v_Stomach	unproductive	190	188	-0.3713410926968382	-0.4915963160927034	-0.23718804074099833	1.3302174930953064e-07	9.895101738960568e-07	True
Muscle-Skeletal_v_Brain-Hippocampus	unproductive	139	137	-0.4220966084275436	-0.5550372711329745	-0.2681307649066301	2.273593310670923e-07	1.6704117334784809e-06	True
